"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Kittitas","WA","Ellensburg","53","037",1135,241470,199970,209900,219900,229000,234950,229745,239950,249500,249900,249900,245000,245000,224900,247000,249000,242450,244500,239000,249000,249950,244450,239000,215000,209990,210000,209945,210000,222000,221750,219000,224925,225000,225000,220000,220000,234990,244900,248950,239450,249950,249000,245475,243250,250000,249700,249900,255475,255950,259000,249900,239000,231990,238000,249500,249000,250000,250000,255000,269900,269000,257156,265000,265000,254900,267500,268000,250000,254000,261000,259990,268000,255000,259000,256450,263500,291500,303497.5,289000,294250,290725,285000,299000,324950,329900,324925,324925,289000,294500,309725,314475,332450
"Bonner","ID","Sandpoint","16","017",1136,299500,299250,289500,279000,280000,279460.5,285000,289000,280000,278700,274750,264000,252000,239000,235000,236500,244750,239000,249000,249000,239000,225000,199900,199900,194950,194500,199900,199950,199900,205500,209000,218300,220000,225000,245000,249000,249900,249900,259000,257000,269000,270000,289000,285003,238500,239900,249000,248450,235000,264500,265000,275750,285500,289900,297000,295000,299900,325000,325000,329000,330000,329950,319000,299900,317000,324900,335000,336000,335000,334116.5,335000,345000,335000,347000,339900,345000,339900,349500,349000,349900,349250,349000,359900,369000,374000,378300,349900,349900,349450,369950,365000,364950
"Jim Wells","TX","Alice","48","249",1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,159450,152900,150000,148000,148000,152500,144110,140000,147000,147500,149200,149900,147750,149900,152000,149450,144000,128750,138500,145000,136500,149000,149950,145000,144950,138500,149000,163500
"Mercer","OH","Celina","39","107",1138,119000,124900,119900,120950,119900,118000,112500,112700,105000,108950,99500,99500,95900,89900,89900,84900,89900,89900,95200,96450,98000,95500,97000,91000,93700,92250,99000,96000,97500,97000,95000,96000,99000,99500,101200,99000,99000,99700,99500,99900,99900,99500,99900,104900,109900,110000,99900,107295,108245,114900,119900,119900,125000,124900,119900,119900,119900,119900,114900,116500,112900,113900,115900,116900,124700,123900,116900,124200,129900,124500,122500,122750,119900,121450,125000,127000,128500,128500,139900,144900,149900,139900,132900,139900,147000,139900,139900,144900,145000,156500,158000,155000
"Levy","FL",,"12","075",1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158900,158900,149500,159900,169000,172450,167000,169500,164500,169000,169000,169000,170000,172000,169000,171500,174900,169500,159900,164200,174900,178500,180000,179000,180000,180000,175000,179950,180000,180000,185000,189000,177000,179900,179450,179000,179900,179000,172000,179900,179900,179450,185000,192450,199000,199000
"Campbell","TN","Knoxville","47","013",1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,159950,159900,159900,149450,149900,139900,139450,149900,149900,149900,158700,149900,145000,154900,149900,149900,149900,149900,139000,139900,139900,145500,143004,124900,124900,134000
"Pasquotank","NC","Elizabeth City","37","139",1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500,149000,155000,150000,152900,152900,149995,151000,155000,153900,150000,149947.5,150000,150000,149900,157000,153650,149900,149900,149000,145000,148500,140000,139900,139000,148000,148800,148900,159900,153950,150000,145000,145000,147500,149000,149950,149000,156500,169900,174900,174400,175000,177500,175000,165900,159900,154450,149950,154900,161750,166450,169500,179900,185700,185700,179900,179500
"Marshall","IA","Marshalltown","19","127",1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000,110500,104900,99900,104950,105000,104950,103000,103000,112950,118450,119900,124900,124400,119900,112900,119500,109900,95000,89900,85000,98750,109500,119900,114900,109900,104900
"Pike","MS","McComb","28","113",1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,99990,102975,108500,114250,111250,124000,120000,129500,120000,133900,133900,129900,129900,129900,134900,130000,130500,134000,129700,129250,129500,129000,125000,126250,128250,126250,135000,143000,139900,154900,152300,147450,144750,139900,139900,148700,139900,149947.5,154750,139900,139900,136977,129900
"Howell","MO","West Plains","29","091",1144,124900,119900,124900,124900,123900,125000,128000,128000,125000,124950,124900,129000,129000,127900,124900,124900,120900,125000,124999,124900,121900,119900,119900,119900,124900,120900,119900,119900,118950,118500,118500,117000,117500,119450,117500,114900,110450,119900,129000,124900,120000,127900,129900,124900,119900,119900,120000,121750,120000,116640,119900,119900,119900,119900,124900,132000,125000,125000,128900,129900,135000,135000,129900,128900,129900,124900,124950,129900,129900,129900,127500,127500,124700,129900,129000,125450,125000,127000,129000,129000,129900,127700,127000,125000,125000,125000,129900,129900,129900,134650,134900,134900
